$TABLEGROUP AcceptanceLimits
$TABLE MOPExpMn_T
50.300000   14000.000000
50.300000   16220.000000
100.500000  25100.000000
105.500000  26000.000000
$END-TABLE
$TABLE MOPExpMx_T
75.300000   0.00000     
75.300000   14000.000000
175.300000  24330.000000
175.300000  26000.000000
$END-TABLE
$TABLE MOPAccMn_T
50.300000  13947.000000
50.300000  14543.000000
136.1100   26917.000000
$END-TABLE
$TABLE MOPAccMx_T
58.130000   12235.000000
175.300000  24382.000000
175.300000  26000.000000
$END-TABLE
$END-TABLEGROUP
