$TABLEGROUP N1ModifierClass
$TABLE N1Class_T
100000.0000  -150.000000
100000.0000  -96.000000 
-96.000000   -96.000000 
-96.000000   -93.000100 
-93.000000   -93.000000 
-93.000000   -90.000100 
-90.000000   -90.000000 
-90.000000   -87.000100 
-87.000000   -87.000000 
-87.000000   -84.000100 
-84.000000   -84.000000 
-84.000000   -81.000100 
-81.000000   -81.000000 
-81.000000   -78.000100 
-78.000000   -78.000000 
-78.000000   -75.000100 
-75.000000   -75.000000 
-75.000000   -72.000100 
-72.000000   -72.000000 
-72.000000   -69.000100 
-69.000000   -69.000000 
-69.000000   -66.000100 
-66.000000   -66.000000 
-66.000000   -63.000100 
-63.000000   -63.000000 
-63.000000   -60.000100 
-60.000000   -60.000000 
-60.000000   -57.000100 
-57.000000   -57.000000 
-57.000000   -54.000100 
-54.000000   -54.000000 
-54.000000   -51.000100 
-51.000000   -51.000000 
-51.000000   -48.000100 
-48.000000   -48.000000 
-48.000000   -45.000100 
-45.000000   -45.000000 
-45.000000   -42.000100 
-42.000000   -42.000000 
-42.000000   -39.000100 
-39.000000   -39.000000 
-39.000000   -36.000100 
-36.000000   -36.000000 
-36.000000   -33.000100 
-33.000000   -33.000000 
-33.000000   -30.000100 
-30.000000   -30.000000 
-30.000000   -27.000100 
-27.000000   -27.000000 
-27.000000   -24.000100 
-24.000000   -24.000000 
-24.000000   -21.000100 
-21.000000   -21.000000 
-21.000000   -18.000100 
-18.000000   -18.000000 
-18.000000   -15.000100 
-15.000000   -15.000000 
-15.000000   -12.000100 
-12.000000   -12.000000 
-12.000000   -9.000100  
-9.000000    -9.000000  
-9.000000    -6.000100  
-6.000000    -6.000000  
-6.000000    -3.000100  
-3.000000    -3.000000  
-3.000000    -0.000100  
0.000000     0.000000   
0.000000     2.999900   
3.000000     3.000000   
3.000000     5.999900   
6.000000     6.000000   
6.000000     8.999900   
9.000000     9.000000   
9.000000     11.999900  
12.000000    12.000000  
12.000000    14.999900  
15.000000    15.000000  
15.000000    17.999900  
18.000000    18.000000  
18.000000    20.999900  
21.000000    21.000000  
21.000000    23.999900  
24.000000    24.000000  
24.000000    26.999900  
27.000000    27.000000  
27.000000    29.999900  
30.000000    30.000000  
30.000000    32.999900  
33.000000    33.000000  
33.000000    35.999900  
36.000000    36.000000  
36.000000    38.999900  
39.000000    39.000000  
39.000000    41.999900  
42.000000    42.000000  
42.000000    44.999900  
45.000000    45.000000  
45.000000    47.999900  
48.000000    48.000000  
48.000000    50.999900  
51.000000    51.000000  
51.000000    53.999900  
54.000000    54.000000  
54.000000    56.999900  
57.000000    57.000000  
57.000000    59.999900  
60.000000    60.000000  
60.000000    62.999900  
63.000000    63.000000  
63.000000    65.999900  
66.000000    66.000000  
66.000000    68.999900  
69.000000    69.000000  
69.000000    71.999900  
72.000000    72.000000  
72.000000    74.999900  
75.000000    75.000000  
75.000000    77.999900  
78.000000    78.000000  
78.000000    80.999900  
81.000000    81.000000  
81.000000    83.999900  
84.000000    84.000000  
84.000000    86.999900  
87.000000    87.000000  
87.000000    89.999900  
90.000000    90.000000  
90.000000    92.999900  
93.000000    93.000000  
93.000000    95.999900  
96.000000    96.000000  
96.000000    99.000000  
100000.000   99.000000  
100000.000   150.000000 
$END-TABLE
$TABLE N1ClassLower_T
-96.000000  -150.000000
-96.000000  -93.000000 
-93.000000  -93.000000 
-93.000000  -90.000000 
-90.000000  -90.000000 
-90.000000  -87.000000 
-87.000000  -87.000000 
-87.000000  -84.000000 
-84.000000  -84.000000 
-84.000000  -81.000000 
-81.000000  -81.000000 
-81.000000  -78.000000 
-78.000000  -78.000000 
-78.000000  -75.000000 
-75.000000  -75.000000 
-75.000000  -72.000000 
-72.000000  -72.000000 
-72.000000  -69.000000 
-69.000000  -69.000000 
