$TABLEGROUP SetTargets
$TABLE RunInN1C2Targ_T
2045.000000  0.000000 
2045.000000  1.500000 
5000.000000  1.500000 
5000.000000  2.500000 
2045.000000  2.500000 
2045.000000  4.500000 
6000.000000  4.500000 
6000.000000  5.500000 
2045.000000  5.500000 
2045.000000  7.500000 
7000.000000  7.500000 
7000.000000  8.500000 
4000.000000  8.500000 
4000.000000  10.500000
8000.000000  10.500000
8000.000000  11.500000
4000.000000  11.500000
4000.000000  13.500000
9000.000000  13.500000
9000.000000  14.500000
4000.000000  14.500000
4000.000000  16.500000
9625.000000  16.500000
9625.000000  17.500000
2045.000000  17.500000
2045.000000  20.500000
9625.000000  20.500000
9625.000000  22.500000
2045.000000  22.500000
2045.000000  24.500000
2925.000000  24.500000
2925.000000  26.500000
9625.000000  26.500000
9625.000000  28.500000
2045.000000  28.500000
2045.000000  30.500000
8500.000000  30.500000
8500.000000  31.500000
9625.000000  31.500000
9625.000000  32.500000
2045.000000  32.500000
2045.000000  36.500000
$END-TABLE
$TABLE RunInTLATarg_T
0.000000   0.000000 
0.000000   1.500000 
10.350000  1.500000 
10.350000  2.500000 
0.000000   2.500000 
0.000000   4.500000 
15.490000  4.500000 
15.490000  5.500000 
0.000000   5.500000 
0.000000   7.500000 
21.680000  7.500000 
21.680000  8.500000 
6.430000   8.500000 
6.430000   10.500000
28.830000  10.500000
28.830000  11.500000
6.430000   11.500000
6.430000   13.500000
38.740000  13.500000
38.740000  14.500000
6.430000   14.500000
6.430000   16.500000
46.000000  16.500000
46.000000  17.500000
0.000000   17.500000
0.000000   20.500000
46.000000  20.500000
46.000000  22.500000
0.000000   22.500000
0.000000   26.500000
46.000000  26.500000
46.000000  28.500000
0.000000   28.500000
0.000000   30.500000
33.580000  30.500000
33.580000  31.500000
46.000000  31.500000
46.000000  32.500000
0.000000   32.500000
0.000000   36.500000
$END-TABLE
$TABLE RunInEventDur_T
300.000000  0.000000 
300.000000  1.500000 
30.000000   1.500000 
30.000000   3.500000 
180.000000  3.500000 
180.000000  4.500000 
40.000000   4.500000 
40.000000   6.500000 
180.000000  6.500000 
180.000000  7.500000 
50.000000   7.500000 
50.000000   8.500000 
30.000000   8.500000 
30.000000   9.500000 
180.000000  9.500000 
180.000000  10.500000
40.000000   10.500000
40.000000   12.500000
180.000000  12.500000
180.000000  13.500000
50.000000   13.500000
50.000000   15.500000
180.000000  15.500000
180.000000  16.500000
56.000000   16.500000
56.000000   17.500000
18.000000   17.500000
18.000000   18.500000
10.000000   18.500000
10.000000   19.500000
170.000000  19.500000
170.000000  20.500000
80.000000   20.500000
80.000000   21.500000
90.000000   21.500000
90.000000   22.500000
80.000000   22.500000
80.000000   23.500000
180.000000  23.500000
180.000000  24.500000
18.000000   24.500000
18.000000   25.500000
180.000000  25.500000
180.000000  26.500000
1.000000    26.500000
1.000000    27.500000
30.000000   27.500000
30.000000   28.500000
1.000000    28.500000
1.000000    29.500000
840.000000  29.500000
840.000000  30.500000
10.000000   30.500000
10.000000   31.500000
11.000000   31.500000
11.000000   32.500000
18.000000   32.500000
18.000000   33.500000
10.000000   33.500000
10.000000   34.500000
170.000000  34.500000
170.000000  36.500000
$END-TABLE
$TABLE AcceptN1C2Targ_T
8914.000000  0.500000 
8914.000000  4.500000 
8819.000000  4.500000 
8819.000000  7.500000 
8208.000000  7.500000 
8208.000000  10.500000
8040.000000  10.500000
8040.000000  11.500000
7428.000000  11.500000
7428.000000  12.500000
6800.000000  12.500000
6800.000000  13.500000
2000.000000  13.500000
2000.000000  17.500000
$END-TABLE
$TABLE AcceptFNTR2Targ_T
23950.000000  0.500000 
23950.000000  2.500000 
23650.000000  2.500000 
23650.000000  4.500000 
21350.000000  4.500000 
21350.000000  5.500000 
21050.000000  5.500000 
21050.000000  7.500000 
19400.000000  7.500000 
19400.000000  8.500000 
19150.000000  8.500000 
19150.000000  10.500000
15000.000000  10.500000
15000.000000  11.500000
14750.000000  11.500000
14750.000000  13.500000
1500.000000   13.500000
1500.000000   15.500000
2000.000000   15.500000
2000.000000   17.500000
$END-TABLE
$TABLE AcceptTLATarg_T
45.500000  0.500000 
45.500000  2.500000 
45.000000  2.500000 
45.000000  4.500000 
40.590000  4.500000 
40.590000  5.500000 
40.090000  5.500000 
40.090000  7.500000 
36.860000  7.500000 
36.860000  8.500000 
36.360000  8.500000 
36.360000  10.500000
28.080000  10.500000
28.080000  11.500000
27.580000  11.500000
27.580000  13.500000
0.000000   13.500000
0.000000   17.500000
$END-TABLE
$TABLE AcceptEventDur_T
40.000000   0.500000 
40.000000   2.500000 
100.000000  2.500000 
100.000000  3.500000 
300.000000  3.500000 
300.000000  4.500000 
40.000000   4.500000 
40.000000   5.500000 
100.000000  5.500000 
100.000000  6.500000 
180.000000  6.500000 
180.000000  7.500000 
40.000000   7.500000 
40.000000   8.500000 
100.000000  8.500000 
100.000000  9.500000 
180.000000  9.500000 
180.000000  10.500000
40.000000   10.500000
40.000000   11.500000
100.000000  11.500000
100.000000  12.500000
180.000000  12.500000
180.000000  13.500000
30.000000   13.500000
30.000000   14.500000
120.000000  14.500000
120.000000  15.500000
300.000000  15.500000
300.000000  17.500000
$END-TABLE
$TABLE CorrN1C2Targ_T
2045.000000  0.000000 
2045.000000  1.500000 
9205.000000  1.500000 
9205.000000  3.500000 
8865.000000  3.500000 
8865.000000  5.500000 
9625.000000  5.500000 
9625.000000  7.500000 
9465.000000  7.500000 
9465.000000  9.500000 
9355.000000  9.500000 
9355.000000  11.500000
9205.000000  11.500000
9205.000000  13.500000
9105.000000  13.500000
9105.000000  15.500000
8965.000000  15.500000
8965.000000  17.500000
8865.000000  17.500000
8865.000000  19.500000
8435.000000  19.500000
8435.000000  21.500000
7920.000000  21.500000
7920.000000  23.500000
5780.000000  23.500000
5780.000000  25.500000
3985.000000  25.500000
3985.000000  27.500000
2045.000000  27.500000
2045.000000  29.500000
9205.000000  29.500000
9205.000000  31.500000
8865.000000  31.500000
8865.000000  33.500000
3052.000000  33.500000
3052.000000  35.500000
$END-TABLE
$TABLE CorrFNTR2Targ_T
1500.00000    0.000000 
